               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 102,            0.020415,            0.017262,          0.00078151,             0.93398,             0.78961,             0.88392,             0.58756,            0.022969,            0.017871,           0.0026614,           0.0050005,           0.0050005,           0.0050005
                 103,             0.01996,             0.01656,          0.00078487,             0.87992,             0.79976,             0.86733,             0.57993,            0.022797,            0.018076,           0.0028428,            0.004951,            0.004951,            0.004951
                 104,            0.019457,            0.016528,          0.00084924,             0.88709,             0.80374,             0.87362,             0.58589,            0.022693,            0.017559,           0.0030207,           0.0049015,           0.0049015,           0.0049015
                 105,            0.018872,            0.015104,          0.00064436,              0.8921,             0.80942,             0.88168,             0.58592,            0.023233,            0.018248,           0.0028518,            0.004852,            0.004852,            0.004852
                 106,            0.019309,             0.01624,          0.00072441,             0.88968,             0.80444,             0.86816,               0.589,            0.022613,            0.017966,           0.0028444,           0.0048025,           0.0048025,           0.0048025
                 107,             0.01993,            0.016698,          0.00066115,             0.89932,             0.80752,             0.87589,             0.58501,            0.023071,            0.017834,           0.0026446,            0.004753,            0.004753,            0.004753
                 108,            0.018898,            0.016022,          0.00069728,             0.90102,             0.79498,             0.86216,             0.58272,            0.022726,            0.018219,           0.0031288,           0.0047035,           0.0047035,           0.0047035
                 109,            0.018817,            0.016318,          0.00093871,             0.90578,             0.79509,             0.86541,             0.57692,            0.023176,            0.018381,           0.0029905,            0.004654,            0.004654,            0.004654
                 110,            0.018571,            0.015632,           0.0006863,             0.89698,             0.80776,              0.8719,             0.57735,            0.022849,            0.018004,           0.0025284,           0.0046045,           0.0046045,           0.0046045
                 111,            0.018785,            0.015234,          0.00076401,             0.87888,             0.80363,             0.87488,             0.57928,            0.022828,            0.018337,           0.0025033,            0.004555,            0.004555,            0.004555
                 112,            0.018642,            0.016051,          0.00077792,             0.91486,             0.78741,             0.87015,             0.57758,            0.022712,            0.018278,            0.003225,           0.0045055,           0.0045055,           0.0045055
